video_id,title,url,upload_date,source,status,lang,json_path,markdown_path,error
JMbRFcQobHU,What a Real AI Business Looks Like (No Hype),https://www.youtube.com/watch?v=JMbRFcQobHU,2026-06-10T05:09:49-07:00,supadata,ok,en,research\youtube-transcripts\gael_breton\JMbRFcQobHU-what-a-real-ai-business-looks-like-no-hype\transcript.json,research\youtube-transcripts\gael_breton\JMbRFcQobHU-what-a-real-ai-business-looks-like-no-hype\transcript.md,
NY5kJfMQ5bk,What Actually Changed In Claude Opus 4.8,https://www.youtube.com/watch?v=NY5kJfMQ5bk,2026-05-29T12:08:08-07:00,supadata,ok,en,research\youtube-transcripts\gael_breton\NY5kJfMQ5bk-what-actually-changed-in-claude-opus-4.8\transcript.json,research\youtube-transcripts\gael_breton\NY5kJfMQ5bk-what-actually-changed-in-claude-opus-4.8\transcript.md,
OYJa8XPd210,5 Months Of Claude Code (As A Business Owner),https://www.youtube.com/watch?v=OYJa8XPd210,2026-05-21T03:01:17-07:00,supadata,ok,en,research\youtube-transcripts\gael_breton\OYJa8XPd210-5-months-of-claude-code-as-a-business-owner\transcript.json,research\youtube-transcripts\gael_breton\OYJa8XPd210-5-months-of-claude-code-as-a-business-owner\transcript.md,
RvKOqDnaaI4,GPT-5.5 vs Claude: I Switched For 7 Days,https://www.youtube.com/watch?v=RvKOqDnaaI4,2026-05-01T05:38:02-07:00,supadata,ok,en,research\youtube-transcripts\gael_breton\RvKOqDnaaI4-gpt-5.5-vs-claude-i-switched-for-7-days\transcript.json,research\youtube-transcripts\gael_breton\RvKOqDnaaI4-gpt-5.5-vs-claude-i-switched-for-7-days\transcript.md,
HFYMVRbVuYY,We Just Tested ChatGPT Image 2,https://www.youtube.com/watch?v=HFYMVRbVuYY,2026-04-22T13:45:15-07:00,supadata,ok,en,research\youtube-transcripts\gael_breton\HFYMVRbVuYY-we-just-tested-chatgpt-image-2\transcript.json,research\youtube-transcripts\gael_breton\HFYMVRbVuYY-we-just-tested-chatgpt-image-2\transcript.md,
h8LWEEwSYdU,Why Everyone Suddenly Hates Anthropic [Opus 4.7],https://www.youtube.com/watch?v=h8LWEEwSYdU,2026-04-17T10:15:35-07:00,supadata,ok,en,research\youtube-transcripts\gael_breton\h8LWEEwSYdU-why-everyone-suddenly-hates-anthropic-opus-4.7\transcript.json,research\youtube-transcripts\gael_breton\h8LWEEwSYdU-why-everyone-suddenly-hates-anthropic-opus-4.7\transcript.md,
SpjTsdQpXsE,This AI Is Too Dangerous to Release,https://www.youtube.com/watch?v=SpjTsdQpXsE,2026-04-08T10:41:06-07:00,supadata,ok,en,research\youtube-transcripts\gael_breton\SpjTsdQpXsE-this-ai-is-too-dangerous-to-release\transcript.json,research\youtube-transcripts\gael_breton\SpjTsdQpXsE-this-ai-is-too-dangerous-to-release\transcript.md,
E51bELugdnM,Cloudflare Just Built a WordPress Killer,https://www.youtube.com/watch?v=E51bELugdnM,2026-04-03T06:10:18-07:00,supadata,ok,en,research\youtube-transcripts\gael_breton\E51bELugdnM-cloudflare-just-built-a-wordpress-killer\transcript.json,research\youtube-transcripts\gael_breton\E51bELugdnM-cloudflare-just-built-a-wordpress-killer\transcript.md,
b0oL4SEVzwM,I Hired Claude Code as My Employee,https://www.youtube.com/watch?v=b0oL4SEVzwM,2026-03-25T05:08:18-07:00,supadata,ok,en,research\youtube-transcripts\gael_breton\b0oL4SEVzwM-i-hired-claude-code-as-my-employee\transcript.json,research\youtube-transcripts\gael_breton\b0oL4SEVzwM-i-hired-claude-code-as-my-employee\transcript.md,
dqs9s32iU1s,The AI Golden Age Ends This Month,https://www.youtube.com/watch?v=dqs9s32iU1s,2026-03-19T14:51:06-07:00,supadata,ok,en,research\youtube-transcripts\gael_breton\dqs9s32iU1s-the-ai-golden-age-ends-this-month\transcript.json,research\youtube-transcripts\gael_breton\dqs9s32iU1s-the-ai-golden-age-ends-this-month\transcript.md,
